book_id,title,author,language,source_url,clean_path,quality_status,reject_reason
62455,Guest the One-Eyed,"Gunnarsson, Gunnar, 1889-1975; Worster, W. J. Alexander (William John Alexander), 1882-1929 [Translator]",en,https://www.gutenberg.org/cache/epub/62455/pg62455.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62455.txt,accepted,
62516,Agatha's Aunt,"Smith, Harriet L. (Harriet Lummis), 1866-1947",en,https://www.gutenberg.org/cache/epub/62516/pg62516.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62516.txt,accepted,
62619,The Avenger,"Knight, Damon, 1922-2002; Ingels, Graham, 1915-1991 [Illustrator]",en,https://www.gutenberg.org/cache/epub/62619/pg62619.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62619.txt,accepted,
62621,"Memorials of Shrewsbury being a concise description of the town and its environs, adapted as a general guide for the information of visitors and residents","Pidgeon, Henry",en,https://www.gutenberg.org/cache/epub/62621/pg62621.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62621.txt,accepted,
62664,Three little lines,"Crum, Josie Moore, 1888-1972",en,https://www.gutenberg.org/cache/epub/62664/pg62664.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62664.txt,accepted,
62947,The Balkan Trail,"Moore, Frederick Ferdinand, 1881-1947; Holiday, Gilbert, 1879-1937 [Illustrator]",en,https://www.gutenberg.org/cache/epub/62947/pg62947.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/62947.txt,accepted,
63107,Mrs Dalloway in Bond Street,"Woolf, Virginia, 1882-1941",en,https://www.gutenberg.org/cache/epub/63107/pg63107.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/63107.txt,accepted,
63162,"The Haven Children; or, Frolics at the Funny Old House on Funny Street","Foster, Emilie, 1834-",en,https://www.gutenberg.org/cache/epub/63162/pg63162.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/63162.txt,accepted,
63230,Two Stories,"Woolf, Virginia, 1882-1941; Woolf, Leonard, 1880-1969; Carrington, Dora de Houghton, 1893-1932 [Illustrator]",en,https://www.gutenberg.org/cache/epub/63230/pg63230.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/63230.txt,accepted,
63280,Four Lectures on the English Revolution,"Green, Thomas Hill, 1836-1882; Nettleship, Richard Lewis, 1846-1892 [Editor]",en,https://www.gutenberg.org/cache/epub/63280/pg63280.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/63280.txt,accepted,
63372,"Einstein's Theories of Relativity and Gravitation A selection of material from the essays submitted in the competition for the Eugene Higgins prize of $5,000","Bird, J. Malcolm (James Malcolm), 1886-1964; Einstein, Albert, 1879-1955 [Other]",en,https://www.gutenberg.org/cache/epub/63372/pg63372.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/63372.txt,accepted,
63562,Harry Joscelyn; vol. 3 of 3,"Oliphant, Mrs. (Margaret), 1828-1897",en,https://www.gutenberg.org/cache/epub/63562/pg63562.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/63562.txt,accepted,
63582,Oliver's Bride; A true Story,"Oliphant, Mrs. (Margaret), 1828-1897",en,https://www.gutenberg.org/cache/epub/63582/pg63582.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/63582.txt,accepted,
63583,Indians of Louisiana,Inter-tribal Council of Louisiana,en,https://www.gutenberg.org/cache/epub/63583/pg63583.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/63583.txt,accepted,
63681,Tama,"Watanna, Onoto, 1875-1954; Yeto, Genjiro, 1867-1924 [Illustrator]",en,https://www.gutenberg.org/cache/epub/63681/pg63681.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/63681.txt,accepted,
